 	MC	CL	CM	CN	TI	DC	MS	CV	PN	AC	LF	MP	MZ
scaffold_57:235,829-236,098	20.0	43.0	16.0	51.0	37.0	34.0	29.0	20.0	41.0	49.0	42.0	52.0	57.0
scaffold_115:2,174,762-2,188,539	11.0	12.0	6.0	21.0	14.0	12.0	20.0	22.0	21.0	19.0	8.0	27.0	54.0
scaffold_95:852,058-2,427,928	10.0	5.0	8.0	6.0	8.0	5.0	3.0	9.0	8.0	8.0	5.0	14.0	9.0
scaffold_76:3,107,291-3,125,123	76.0	113.0	46.0	84.0	192.0	128.0	71.0	153.0	99.0	216.0	103.0	120.0	216.0
scaffold_83:36,310-114,651	10.0	4.0	1.0	4.0	2.0	1.0	3.0	2.0	3.0	5.0	2.0	7.0	5.0
scaffold_49:3,958,898-3,959,193	36.0	68.0	34.0	60.0	81.0	48.0	50.0	61.0	65.0	77.0	61.0	42.0	74.0
scaffold_57:2,274,420-2,275,169	27.0	39.0	1.0	69.0	37.0	0.0	46.0	48.0	73.0	0.0	49.0	34.0	92.0
scaffold_85:426,096-431,367	11.0	15.0	13.0	11.0	16.0	4.0	12.0	10.0	4.0	14.0	10.0	20.0	3.0
scaffold_114:816,524-816,684	8.0	15.0	8.0	15.0	13.0	10.0	12.0	10.0	9.0	10.0	14.0	19.0	2.0
scaffold_90:1,343,405-1,343,672	18.0	23.0	20.0	15.0	38.0	7.0	44.0	12.0	18.0	25.0	21.0	5.0	18.0
scaffold_88:670,816-671,296	13.0	20.0	8.0	21.0	26.0	17.0	13.0	9.0	9.0	16.0	16.0	29.0	39.0
scaffold_178:805,835-1,207,855	135.0	195.0	63.0	156.0	232.0	73.0	86.0	120.0	110.0	202.0	114.0	154.0	160.0
scaffold_57:2,274,418-2,275,201	24.0	39.0	0.0	69.0	35.0	0.0	45.0	44.0	68.0	0.0	47.0	33.0	89.0
scaffold_49:2,589,681-2,590,259	9.0	8.0	2.0	13.0	11.0	7.0	11.0	5.0	0.0	0.0	3.0	14.0	14.0
scaffold_38:2,033,289-2,033,859	27.0	32.0	14.0	53.0	52.0	32.0	39.0	50.0	35.0	61.0	40.0	58.0	31.0
scaffold_49:3,958,871-3,959,183	38.0	71.0	37.0	62.0	81.0	49.0	53.0	62.0	67.0	81.0	61.0	43.0	82.0
scaffold_2:11,606,814-11,608,552	11.0	13.0	4.0	13.0	12.0	12.0	11.0	11.0	7.0	20.0	8.0	0.0	0.0
scaffold_348:17,830-119,293	3.0	15.0	5.0	20.0	11.0	8.0	12.0	7.0	21.0	13.0	12.0	10.0	20.0
scaffold_89:1,089,665-1,094,434	14.0	13.0	8.0	34.0	13.0	10.0	25.0	16.0	17.0	21.0	19.0	0.0	1.0
scaffold_80:623,023-1,473,658	2.0	16.0	7.0	15.0	9.0	11.0	7.0	7.0	8.0	9.0	5.0	28.0	18.0
scaffold_61:11,138-224,264	88.0	39.0	58.0	41.0	37.0	82.0	17.0	0.0	54.0	67.0	30.0	158.0	21.0
