"","V1","V2","V3","V4"
"1",0,1,10000,0.203269
"2",0,2,20000,0.329494
"3",0,3,30000,0.406521
"4",0,4,40000,0.380692
"5",0,5,50000,0.207238
"6",0,6,60000,0.390419
"7",0,7,70000,0.370158
"8",0,8,80000,0.458202
"9",0,9,90000,0.279644
"10",0,10,120000,0.16309
"11",0,11,130000,0.345166
"12",0,12,140000,0.399013
"13",0,13,150000,0.465486
"14",0,14,160000,0.789404
"15",0,15,170000,0.519032
"16",0,16,180000,0.396185
"17",0,17,190000,0.689644
"18",0,18,200000,0.310999
"19",0,19,210000,0.565344
"20",0,20,220000,0.502275
"21",0,21,230000,0.337166
"22",0,22,240000,0.338042
"23",0,23,250000,0.257918
"24",0,24,260000,0.49708
"25",0,25,280000,0.202434
"26",0,26,300000,0.315193
"27",0,27,320000,0.419311
"28",0,28,330000,0.371048
"29",0,29,340000,0.164085
"30",0,30,350000,0.293316
"31",0,31,370000,0.200736
"32",0,32,380000,0.0826096
"33",0,33,390000,0.0703486
"34",0,34,410000,0.13777
"35",0,35,420000,0.26678
"36",0,36,440000,0.132621
"37",0,37,450000,0.0964693
"38",0,38,470000,0.188865
"39",0,39,480000,0.2191
"40",0,40,510000,0.164633
"41",0,41,520000,0.33416
"42",0,42,530000,0.30385
"43",0,43,540000,0.396533
"44",0,44,550000,0.269488
"45",0,45,560000,0.203027
"46",0,46,570000,0.266968
"47",0,47,590000,0.228359
"48",0,48,600000,0.0798037
"49",0,49,610000,0.0870541
"50",0,50,640000,0.119944
"51",0,51,650000,0.254602
"52",0,52,660000,0.177818
"53",0,53,670000,0.108615
"54",0,54,680000,0.205642
"55",0,55,690000,0.243365
"56",0,56,710000,0.0619889
"57",0,57,720000,0.107522
"58",0,58,730000,0.158502
"59",0,59,740000,0.132753
"60",0,60,760000,0.206598
"61",0,61,770000,0.139165
"62",0,62,790000,0.120123
"63",0,63,800000,0.157055
"64",0,64,810000,0.134207
"65",0,65,820000,0.0696628
"66",0,66,840000,0.336252
"67",0,67,850000,0.0868797
"68",0,68,860000,0.128637
"69",0,69,870000,0.144139
"70",0,70,890000,0.102495
"71",0,71,910000,0.156414
"72",0,72,920000,0.34487
"73",0,73,930000,0.242134
"74",0,74,970000,0.159211
"75",0,75,980000,0.103896
"76",0,76,990000,0.0390327
"77",0,77,1000000,0.284621
"78",0,78,1010000,0.234079
"79",0,79,1060000,0.123573
"80",0,80,1070000,0.279253
"81",0,81,1080000,0.113464
"82",0,82,1090000,0.210753
"83",0,83,1100000,0.142343
"84",0,84,1110000,0.511587
"85",0,85,1120000,0.440036
"86",0,86,1130000,0.356996
"87",0,87,1140000,0.511728
"88",0,88,1150000,0.332397
"89",0,89,1160000,0.41626
"90",0,90,1170000,0.255875
"91",0,91,1180000,0.371199
"92",0,92,1190000,0.164943
"93",0,93,1200000,0.156777
"94",0,94,1210000,0.130631
"95",0,95,1220000,0.131262
"96",0,96,1240000,0.152937
"97",0,97,1250000,0.225335
"98",0,98,1260000,0.108546
"99",0,99,1270000,0.0881808
"100",0,100,1280000,0.105697
"101",0,101,1290000,0.310342
"102",0,102,1300000,0.479321
"103",0,103,1310000,0.352843
"104",0,104,1330000,0.248754
"105",0,105,1340000,0.296098
"106",0,106,1380000,0.48688
"107",0,107,1390000,0.434214
"108",0,108,1400000,0.391384
"109",0,109,1410000,0.31251
"110",0,110,1420000,0.114118
"111",0,111,1430000,0.16804
"112",0,112,1440000,0.233255
"113",0,113,1450000,0.183276
"114",0,114,1460000,0.175515
"115",0,115,1470000,0.260607
"116",0,116,1480000,0.139467
"117",0,117,1490000,0.24415
"118",0,118,1500000,0.359245
"119",0,119,1510000,0.289349
"120",0,120,1520000,0.235795
"121",0,121,1530000,0.212491
"122",0,122,1540000,0.186867
"123",0,123,1550000,0.271546
"124",0,124,1560000,0.332861
"125",0,125,1570000,0.203726
"126",0,126,1600000,0.134651
"127",0,127,1610000,0.196793
"128",0,128,1620000,0.00329563
"129",0,129,1650000,0.124874
"130",0,130,1670000,0.118545
"131",0,131,1680000,0.222957
"132",0,132,1690000,0.232551
"133",0,133,1740000,0.127425
"134",0,134,1760000,0.0814374
"135",0,135,1770000,0.212089
"136",0,136,1780000,0.147683
"137",0,137,1790000,0.101116
"138",0,138,1810000,0.204491
"139",0,139,1820000,0.113743
"140",0,140,1830000,0.111239
"141",0,141,1840000,0.216237
"142",0,142,1850000,0.293015
"143",0,143,1860000,0.251992
"144",0,144,1870000,0.192689
"145",0,145,1880000,0.194564
"146",0,146,1890000,0.0961183
"147",0,147,1900000,0.102287
"148",0,148,1910000,0.261695
"149",0,149,1920000,0.156138
"150",0,150,1940000,0.0796782
"151",0,151,1950000,0.357645
"152",0,152,1960000,0.0675264
"153",0,153,2010000,0.127494
"154",0,154,2020000,0.0809446
"155",0,155,2040000,0.161911
"156",0,156,2050000,0.143797
"157",0,157,2070000,0.0457843
"158",0,158,2090000,0.08845
"159",0,159,2100000,0.121758
"160",0,160,2170000,0.212309
"161",0,161,2180000,0.0960218
"162",0,162,2190000,0.0633071
"163",0,163,2200000,0.067094
"164",0,164,2210000,0.180202
"165",0,165,2230000,0.199722
"166",0,166,2240000,0.213276
"167",0,167,2250000,0.128015
"168",0,168,2260000,0.128163
"169",0,169,2270000,0.235842
"170",0,170,2280000,0.310203
"171",0,171,2290000,0.407538
"172",0,172,2300000,0.300844
"173",0,173,2310000,0.278805
"174",0,174,2320000,0.286675
"175",0,175,2330000,0.393416
"176",0,176,2340000,0.27353
"177",0,177,2350000,0.241704
"178",0,178,2360000,0.255387
"179",0,179,2370000,0.269653
"180",0,180,2380000,0.220817
"181",0,181,2390000,0.224797
"182",0,182,2400000,0.213804
"183",0,183,2410000,0.372064
"184",0,184,2420000,0.214802
"185",0,185,2430000,0.345319
"186",0,186,2440000,0.345265
"187",0,187,2450000,0.141861
"188",0,188,2460000,0.176829
"189",0,189,2470000,0.171515
"190",0,190,2480000,0.173256
"191",0,191,2490000,0.0992915
"192",0,192,2510000,0.0628972
"193",0,193,2540000,0.0597235
"194",0,194,2550000,0.134559
"195",0,195,2560000,0.201816
"196",0,196,2570000,0.233025
"197",0,197,2580000,0.156938
"198",0,198,2590000,0.343189
"199",0,199,2610000,0.300466
"200",0,200,2620000,0.0922427
"201",0,201,2630000,0.165844
"202",0,202,2640000,0.295225
"203",0,203,2650000,0.212269
"204",0,204,2660000,0.0479543
"205",0,205,2670000,0.0366972
"206",0,206,2680000,0.0531371
"207",0,207,2700000,0.15526
"208",0,208,2720000,0.317267
"209",0,209,2740000,0.157315
"210",0,210,2760000,0.16842
"211",0,211,2770000,0.314381
"212",0,212,2780000,0.111922
"213",0,213,2800000,0.280822
"214",0,214,2810000,0.169125
"215",0,215,2820000,0.20795
"216",0,216,2830000,0.179708
"217",0,217,2840000,0.215372
"218",0,218,2850000,0.103941
"219",0,219,2860000,0.167468
"220",0,220,2870000,0.15184
"221",0,221,2880000,0.138907
"222",0,222,2890000,0.297956
"223",0,223,2900000,0.283738
"224",0,224,2910000,0.20719
"225",0,225,2920000,0.216045
"226",0,226,2930000,0.232311
"227",0,227,2940000,0.175357
"228",0,228,2950000,0.225019
"229",0,229,2960000,0.20727
"230",0,230,2970000,0.246391
"231",0,231,2980000,0.295051
"232",0,232,2990000,0.141653
"233",0,233,3000000,0.174187
"234",0,234,3010000,0.210366
"235",0,235,3020000,0.314029
"236",0,236,3030000,0.375076
"237",0,237,3040000,0.157231
"238",0,238,3060000,0.221022
"239",0,239,3070000,0.152186
"240",0,240,3080000,0.45465
"241",0,241,3090000,0.432088
"242",0,242,3100000,0.421693
"243",0,243,3110000,0.562659
"244",0,244,3120000,0.411537
"245",0,245,3130000,0.241955
"246",0,246,3160000,0.39671
"247",0,247,3170000,0.331894
"248",0,248,3180000,0.364443
"249",0,249,3200000,0.226566
"250",0,250,3210000,0.219141
"251",0,251,3220000,0.335805
"252",0,252,3230000,0.248308
"253",0,253,3240000,0.355356
"254",0,254,3250000,0.365599
"255",0,255,3260000,0.313623
"256",0,256,3270000,0.231296
"257",0,257,3280000,0.448526
"258",0,258,3290000,0.472211
"259",0,259,3300000,0.179155
"260",0,260,3310000,0.346684
"261",0,261,3330000,0.256238
"262",0,262,3340000,0.185469
"263",0,263,3350000,0.393135
"264",0,264,3380000,0.12729
"265",0,265,3400000,0.158783
"266",0,266,3410000,0.225586
"267",0,267,3420000,0.163106
"268",0,268,3430000,0.53167
"269",0,269,3440000,0.400827
"270",0,270,3460000,0.151322
"271",0,271,3470000,0.184408
"272",0,272,3480000,0.508489
"273",0,273,3490000,0.271958
"274",0,274,3500000,0.209764
"275",0,275,3510000,0.131206
"276",0,276,3520000,0.333469
"277",0,277,3530000,0.20523
"278",0,278,3540000,0.36239
"279",0,279,3550000,0.208603
"280",0,280,3560000,0.179172
"281",0,281,3570000,0.308717
"282",0,282,3580000,0.258984
"283",0,283,3590000,0.212576
"284",0,284,3600000,0.104406
"285",0,285,3610000,0.193227
"286",0,286,3620000,0.406448
"287",0,287,3630000,0.254644
"288",0,288,3640000,0.212494
"289",0,289,3650000,0.276011
"290",0,290,3660000,0.118389
"291",0,291,3670000,0.152477
"292",0,292,3680000,0.235267
"293",0,293,3690000,0.160052
"294",0,294,3700000,0.209811
"295",0,295,3710000,0.271346
"296",0,296,3720000,0.347826
"297",0,297,3730000,0.0269138
"298",0,298,3740000,0.380052
"299",0,299,3750000,0.1606
"300",0,300,3760000,0.275093
"301",0,301,3770000,0.364941
"302",0,302,3780000,0.440305
"303",0,303,3790000,0.51195
"304",0,304,3800000,0.298354
"305",0,305,3810000,0.67651
"306",0,306,3820000,0.151202
"307",0,307,3830000,0.185335
"308",0,308,3850000,0.254558
"309",0,309,3860000,0.244754
"310",0,310,3880000,0.287777
"311",0,311,3890000,0.204746
"312",0,312,3900000,0.328388
"313",0,313,3910000,0.202065
"314",0,314,3920000,0.269551
"315",0,315,3930000,0.179412
"316",0,316,3940000,0.26015
"317",0,317,3950000,0.171932
"318",0,318,3970000,0.249448
"319",0,319,4000000,0.305167
"320",0,320,4010000,0.174431
"321",0,321,4020000,0.189616
"322",0,322,4030000,0.179608
"323",0,323,4040000,0.369417
"324",0,324,4050000,0.120382
"325",0,325,4060000,0.151742
"326",0,326,4070000,0.136328
"327",0,327,4080000,0.246344
"328",0,328,4090000,0.432348
"329",0,329,4100000,0.181324
"330",0,330,4110000,0.327452
"331",0,331,4120000,0.391163
"332",0,332,4130000,0.230811
"333",0,333,4140000,0.530611
"334",0,334,4150000,0.466363
"335",0,335,4160000,0.259078
"336",0,336,4170000,0.487389
"337",0,337,4180000,0.318182
"338",0,338,4190000,0.255293
"339",0,339,4200000,0.5057
"340",0,340,4210000,0.259273
"341",0,341,4220000,0.164139
"342",0,342,4230000,0.202963
"343",0,343,4250000,0.199583
"344",0,344,4260000,0.170435
"345",0,345,4270000,0.0368004
"346",0,346,4290000,0.110078
"347",0,347,4310000,0.149225
"348",0,348,4320000,0.0913063
"349",0,349,4330000,0.105421
"350",0,350,4340000,0.121062
"351",0,351,4350000,0.30603
"352",0,352,4360000,0.0862458
"353",0,353,4380000,0.113101
"354",0,354,4400000,0.147819
"355",0,355,4410000,0.249277
"356",0,356,4420000,0.0960414
"357",0,357,4440000,0.291266
"358",0,358,4450000,0.126391
"359",0,359,4460000,0.0662965
"360",0,360,4490000,0.1331
"361",0,361,4500000,0.0719256
"362",0,362,4510000,0.0662259
"363",0,363,4520000,0.171434
"364",0,364,4530000,0.226116
"365",0,365,4540000,0.150169
"366",0,366,4550000,0.110698
"367",0,367,4560000,0.189915
"368",0,368,4600000,0.156552
"369",0,369,4610000,0.160925
"370",0,370,4620000,0.214738
"371",0,371,4630000,0.129633
"372",0,372,4640000,0.146041
"373",0,373,4670000,0.155298
"374",0,374,4690000,0.0209624
"375",0,375,4700000,0.192714
"376",0,376,4710000,0.339465
"377",0,377,4720000,0.194179
"378",0,378,4740000,0.114209
"379",0,379,4750000,0.183553
"380",0,380,4760000,0.135878
"381",0,381,4770000,0.205292
"382",0,382,4780000,0.104986
"383",0,383,4790000,0.0603437
"384",0,384,4800000,0.113184
"385",0,385,4810000,0.108992
"386",0,386,4830000,0.172795
"387",0,387,4840000,0.118241
"388",0,388,4850000,0.213645
"389",0,389,4860000,0.233155
"390",0,390,4870000,0.0413114
"391",0,391,4880000,0.12981
"392",0,392,4890000,0.0840685
"393",0,393,4900000,0.0257991
"394",0,394,4910000,0.0636278
"395",0,395,4920000,0.120336
"396",0,396,4930000,0.372317
"397",0,397,4940000,0.221878
"398",0,398,4950000,0.328352
"399",0,399,4960000,0.137306
"400",0,400,4970000,0.0397614
"401",0,401,4980000,0.117814
"402",0,402,4990000,0.169334
"403",0,403,5000000,0.138795
"404",0,404,5020000,0.169129
"405",0,405,5030000,0.105086
"406",0,406,5040000,0.371176
"407",0,407,5050000,0.283952
"408",0,408,5060000,0.0913605
"409",0,409,5070000,0.116263
"410",0,410,5080000,0.267394
"411",0,411,5090000,0.351204
"412",0,412,5100000,0.242225
"413",0,413,5110000,0.301545
"414",0,414,5120000,0.173091
"415",0,415,5130000,0.404031
"416",0,416,5140000,0.386825
"417",0,417,5150000,0.200413
"418",0,418,5160000,0.23804
"419",0,419,5170000,0.231171
"420",0,420,5180000,0.242502
"421",0,421,5190000,0.482621
"422",0,422,5200000,0.183039
"423",0,423,5210000,0.326933
"424",0,424,5220000,0.260457
"425",0,425,5230000,0.0789311
"426",0,426,5240000,0.0691529
"427",0,427,5250000,0.388032
"428",0,428,5260000,0.183414
"429",0,429,5270000,0.235138
"430",0,430,5280000,0.264
"431",0,431,5290000,0.309521
"432",0,432,5300000,0.0993332
"433",0,433,5320000,0.0337909
"434",0,434,5330000,0.209324
"435",0,435,5340000,0.212548
"436",0,436,5350000,0.166514
"437",0,437,5360000,0.126261
"438",0,438,5370000,0.0893103
"439",0,439,5380000,0.209145
"440",0,440,5390000,0.180302
"441",0,441,5410000,0.101823
"442",0,442,5420000,0.0897001
"443",0,443,5430000,0.122585
"444",0,444,5440000,0.123622
"445",0,445,5450000,0.114741
"446",0,446,5460000,0.0955698
"447",0,447,5470000,0.127843
"448",0,448,5480000,0.101981
"449",0,449,5490000,0.237693
"450",0,450,5500000,0.0670459
"451",0,451,5510000,0.17678
"452",0,452,5520000,0.109642
"453",0,453,5530000,0.129402
"454",0,454,5540000,0.0932057
"455",0,455,5550000,0.224729
"456",0,456,5560000,0.166898
"457",0,457,5570000,0.128743
"458",0,458,5580000,0.0262549
"459",0,459,5590000,0.0498696
"460",0,460,5600000,0.0708468
"461",0,461,5610000,0.277675
"462",0,462,5620000,0.141609
"463",0,463,5630000,0.247653
"464",0,464,5640000,0.343948
"465",0,465,5650000,0.0877444
"466",0,466,5660000,0.281034
"467",0,467,5670000,0.0510424
"468",0,468,5680000,0.264651
"469",0,469,5690000,0.107492
"470",0,470,5700000,0.190776
"471",0,471,5710000,0.332072
"472",0,472,5720000,0.444527
"473",0,473,5730000,0.275336
